step,epoch
79549,94.0
79599,94.0
79649,94.0
79699,94.0
79749,94.0
79799,94.0
79849,94.0
79899,94.0
79949,94.0
79989,94.0
79989,94.0
79999,95.0
80049,95.0
80099,95.0
80149,95.0
80199,95.0
80249,95.0
80299,95.0
80349,95.0
80399,95.0
80449,95.0
80499,95.0
80549,95.0
80599,95.0
80649,95.0
80699,95.0
80749,95.0
80799,95.0
80831,95.0
80831,95.0
80849,96.0
80899,96.0
80949,96.0
80999,96.0
81049,96.0
81099,96.0
81149,96.0
81199,96.0
81249,96.0
81299,96.0
81349,96.0
81399,96.0
81449,96.0
81499,96.0
81549,96.0
81599,96.0
81649,96.0
81673,96.0
81673,96.0
81699,97.0
81749,97.0
81799,97.0
81849,97.0
81899,97.0
81949,97.0
81999,97.0
82049,97.0
82099,97.0
82149,97.0
82199,97.0
82249,97.0
82299,97.0
82349,97.0
82399,97.0
82449,97.0
82499,97.0
82515,97.0
82515,97.0
82549,98.0
82599,98.0
82649,98.0
82699,98.0
82749,98.0
82799,98.0
82849,98.0
82899,98.0
82949,98.0
82999,98.0
83049,98.0
83099,98.0
83149,98.0
83199,98.0
83249,98.0
83299,98.0
83349,98.0
83357,98.0
83357,98.0
83399,99.0
83449,99.0
83499,99.0
83549,99.0
83599,99.0
83649,99.0
83699,99.0
83749,99.0
83799,99.0
83849,99.0
83899,99.0
83949,99.0
83999,99.0
84049,99.0
84099,99.0
84149,99.0
84199,99.0
84199,99.0
84199,99.0
84249,100.0
84299,100.0
84349,100.0
84399,100.0
84449,100.0
84499,100.0
84549,100.0
84599,100.0
84649,100.0
84699,100.0
84749,100.0
84799,100.0
84849,100.0
84899,100.0
84949,100.0
84999,100.0
85041,100.0
85041,100.0
85049,101.0
85099,101.0
85149,101.0
85199,101.0
85249,101.0
85299,101.0
85349,101.0
85399,101.0
85449,101.0
85499,101.0
85549,101.0
85599,101.0
85649,101.0
85699,101.0
85749,101.0
85799,101.0
85849,101.0
85883,101.0
85883,101.0
85899,102.0
85949,102.0
85999,102.0
86049,102.0
86099,102.0
86149,102.0
86199,102.0
86249,102.0
86299,102.0
86349,102.0
86399,102.0
86449,102.0
86499,102.0
86549,102.0
86599,102.0
86649,102.0
86699,102.0
86725,102.0
86725,102.0
86749,103.0
86799,103.0
86849,103.0
86899,103.0
86949,103.0
86999,103.0
87049,103.0
87099,103.0
87149,103.0
87199,103.0
87249,103.0
87299,103.0
87349,103.0
87399,103.0
87449,103.0
87499,103.0
87549,103.0
87567,103.0
87567,103.0
87599,104.0
87649,104.0
87699,104.0
87749,104.0
87799,104.0
87849,104.0
87899,104.0
87949,104.0
87999,104.0
88049,104.0
88099,104.0
88149,104.0
88199,104.0
88249,104.0
88299,104.0
88349,104.0
88399,104.0
88409,104.0
88409,104.0
88449,105.0
88499,105.0
88549,105.0
88599,105.0
88649,105.0
88699,105.0
88749,105.0
88799,105.0
88849,105.0
88899,105.0
88949,105.0
88999,105.0
89049,105.0
89099,105.0
89149,105.0
89199,105.0
89249,105.0
89251,105.0
89251,105.0
